name	lig_cov	poc_cov	lig_name	4A_crit	volume	hull	surface	lid	depth	surf/vol	lid/hull	ellVol	ell c/a	ell b/a	siteAtms	accept	donor	aromat	hydrophobicity	metal	Cs	Ns	Os	Ss	Xs	negAA	posAA	polarAA	apolarAA	sumAA	ALA	ARG	ASN	ASP	CSO	CYS	GLN	GLU	GLY	HIS	ILE	LEU	LYS	MET	PHE	PRO	SER	THR	TRP	TYR	VAL	A	C	G	U	I	N	DA	DC	DG	DT	DN	UNK	simpleScore	drugScore
1gpk_clean_P_3	0	0	non	0	281.088	318.08	244.48	73.6	8.83629	0.347905	0.231388	210.12	0.22413	0.312575	57	10	10	7	0.701754	0	39	7	10	1	0	2	0	5	7	14	0	0	1	1	0	0	0	1	1	0	0	3	0	1	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.258183	0.745606
1gpk_clean_P_4	0	0	non	0	277.248	488.96	488.16	0.8	15.1895	0.704294	0.00163613	2777.85	0.185634	0.699472	150	17	23	13	0.733333	0	106	25	17	2	0	2	3	11	16	32	2	3	1	0	0	2	2	2	3	0	1	3	0	1	4	2	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0.382109	0.0253085
1gpk_clean_P_5	0	0	non	0	272.192	324.48	267.68	56.8	11.5169	0.393369	0.175049	214.13	0.225795	0.352885	62	8	12	5	0.677419	0	40	12	8	2	0	0	4	5	6	15	0	2	2	0	0	1	2	0	0	1	0	1	1	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.194604	0.40692
1gpk_clean_P_6	0	0	non	0	227.136	286.56	236.96	49.6	10.008	0.417301	0.173088	161.576	0.259403	0.765101	58	7	8	3	0.758621	0	43	8	7	0	0	1	3	2	10	16	1	2	0	0	0	0	0	1	0	1	0	1	0	0	2	3	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.373869	0.377889
1gpk_clean_P_7	0	0	non	0	212.288	295.04	259.04	36	12.7875	0.488092	0.122017	164.394	0.127127	0.22625	55	9	11	6	0.636364	0	35	11	9	0	0	2	3	5	5	15	0	2	1	1	0	0	1	1	2	1	0	2	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0369025	0.333675
1gpk_clean_P_8	0	0	non	0	170.112	224.16	160.16	64	8.89044	0.376599	0.28551	87.6202	0.338167	0.600946	37	6	5	3	0.72973	0	25	5	6	1	0	1	2	3	5	11	1	0	1	1	0	0	1	0	0	0	0	0	2	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216318	0.124416
1gpk_clean_P_9	0	0	non	0	168	216	179.68	36.32	8.26559	0.42781	0.168148	83.5154	0.362324	0.600383	56	11	8	9	0.696429	0	39	6	11	0	0	2	3	4	1	10	0	1	1	0	0	0	0	2	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144859	0.127243
1gpk_clean_P_10	0	0	non	0	155.84	211.52	164.8	46.72	9.44881	0.422998	0.220877	88.6671	0.317829	0.407528	37	9	6	1	0.675676	0	25	3	9	0	0	3	2	4	2	11	1	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0651534	0.203265
1gpk_clean_P_11	0	0	non	0	121.344	213.6	207.52	6.08	8.67179	0.684072	0.0284644	90.0392	0.337022	0.759772	63	10	10	3	0.68254	0	43	10	10	0	0	1	2	4	10	17	2	1	0	0	0	0	0	1	2	1	0	1	0	0	2	1	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0.0760312	0.115579
1gpk_clean_P_12	0	0	non	0	115.776	186.72	175.2	11.52	10.008	0.605307	0.0616967	52.6262	0.237936	0.395821	52	10	9	2	0.634615	0	33	9	10	0	0	5	2	3	3	13	0	1	1	4	0	0	0	1	2	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.393216
1gpk_clean_P_13	0	0	non	0	112.832	191.36	191.04	0.32	9.34666	0.677255	0.00167224	48.0475	0.173736	0.237169	67	14	16	5	0.61194	0	39	12	14	2	0	0	0	15	4	19	0	0	3	0	0	2	1	0	2	0	1	2	0	0	0	1	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.697954
1gpk_clean_P_14	0	0	non	0	104.96	153.76	105.44	48.32	8.58836	0.401829	0.314256	31.0408	0.315566	0.581473	35	7	7	12	0.657143	0	22	6	7	0	0	0	0	6	5	11	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086209
1u33_clean_P_1	85.7143	49.0318	LM2_A_50	1	621.688	646.891	477.655	169.236	20.8085	0.314817	0.261614	1796.96	0.0922823	0.196331	107	19	18	31	0.672897	0	72	16	19	0	0	5	6	7	9	27	2	1	0	3	0	0	1	2	2	4	1	3	1	0	0	0	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0.411294	0.427472
1u33_clean_P_2	0	0	non	0	373.756	400.424	323.697	76.727	13.5341	0.354868	0.191614	407.432	0.209511	0.3305	68	14	12	7	0.632353	0	43	11	14	0	0	3	3	8	5	19	1	3	2	3	0	0	1	0	3	0	1	0	0	0	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151542	0.39026
1u33_clean_P_3	0	0	non	0	368.183	412.009	344.18	67.8287	11.826	0.383034	0.164629	497.139	0.273895	0.552278	79	15	14	6	0.64557	0	50	14	15	0	0	1	4	7	5	17	0	1	3	1	0	0	0	0	2	1	1	2	2	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188088	0.273459
1u33_clean_P_4	0	0	non	0	325.187	376.248	262.416	113.831	14.5561	0.330654	0.302544	425.391	0.193567	0.530203	80	16	20	3	0.5875	0	46	18	16	0	0	2	5	8	6	21	1	4	0	2	0	0	0	0	3	1	0	1	0	0	1	2	1	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0586559
1u33_clean_P_5	0	0	non	0	243.529	424.769	422.586	2.18261	17.466	0.711017	0.00513834	1869.62	0.0645692	0.387947	131	21	17	9	0.717557	0	92	16	21	2	0	4	5	5	17	31	2	2	2	3	0	1	1	1	0	2	5	6	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.30836	0.0130052
1u33_clean_P_6	1.42857	0.0308452	LM2_A_50	0	223.029	396.563	395.723	0.839464	19.3017	0.72702	0.00211685	671.683	0.0627969	0.101695	107	11	19	22	0.738318	0	77	17	11	2	0	4	4	6	10	24	0	2	1	2	0	0	2	2	0	2	2	1	0	2	2	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0.345763	0.0297411
1u33_clean_P_7	0	0	non	0	187.187	283.739	221.954	61.7846	9.92739	0.485851	0.217751	187.371	0.173598	0.315608	62	8	5	10	0.790323	0	45	9	8	0	0	1	3	3	8	15	0	3	1	1	0	0	0	0	1	0	0	0	0	0	1	4	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.4115	0.644166
1u33_clean_P_8	0	0	non	0	171.709	261.073	214.567	46.5063	12.1758	0.512019	0.178135	159.381	0.168655	0.249011	62	10	11	2	0.693548	0	43	9	10	0	0	2	2	5	7	16	0	0	0	1	0	0	0	1	2	0	1	1	2	0	2	0	2	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.139364	0.270425
1u33_clean_P_9	0	0	non	0	157.813	181.996	100.568	81.428	8.32705	0.261116	0.447417	61.8039	0.530225	0.66636	30	6	6	0	0.666667	0	20	4	6	0	0	0	0	4	4	8	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.00199227	0.0155503
1u33_clean_P_10	0	0	non	0	151.346	200.8	165.542	35.2575	8.65333	0.448182	0.175585	69.9935	0.674202	0.881811	47	8	8	3	0.659574	0	31	8	8	0	0	3	3	3	3	12	0	1	1	2	0	0	0	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0244106	0.0165718
1u33_clean_P_11	0	0	non	0	147.494	204.158	163.696	40.4622	8.65333	0.454757	0.198191	68.4358	0.313328	0.640941	53	9	6	10	0.735849	0	39	5	9	0	0	1	3	4	2	10	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0.222682	0.100625
1u33_clean_P_12	0	0	non	0	141.508	196.77	166.885	29.8849	9.72233	0.483228	0.151877	56.9262	0.219791	0.419068	48	9	8	0	0.666667	0	32	7	9	0	0	3	0	3	7	13	1	0	0	2	0	0	0	1	0	0	4	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0361532	0.349006
1u33_clean_P_13	0	0	non	0	116.261	189.551	178.302	11.2488	9.98641	0.628402	0.0593446	52.9313	0.146643	0.285208	57	10	11	2	0.631579	0	34	11	10	2	0	3	2	6	2	13	0	2	1	3	0	2	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.676953
3ao4_clean_P_1	51.8519	9.32483	833_B_1	0	621.824	995.68	840.32	155.36	35.0953	0.540552	0.156034	24020.2	0.0504768	0.153838	204	36	26	27	0.710784	0	144	23	36	1	0	4	6	13	24	47	8	2	1	0	0	1	4	4	1	2	2	4	2	0	3	0	1	3	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0.533271	0.178016
3ao4_clean_P_2	0	0	non	0	169.024	281.92	235.36	46.56	12.4258	0.556986	0.165153	226.244	0.117732	0.171595	60	9	5	6	0.766667	0	46	5	9	0	0	2	2	3	7	14	1	0	0	0	0	0	1	2	0	0	1	1	2	0	1	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.337101	0.387171
3ao4_clean_P_3	0	0	non	0	157.312	228.48	181.12	47.36	11.2641	0.460537	0.207283	101.811	0.202785	0.404841	52	6	10	0	0.711538	0	36	9	6	1	0	2	0	4	6	12	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.166615	0.211002
3ao4_clean_P_4	0	0	non	0	151.744	206.08	145.12	60.96	6.62118	0.382539	0.295807	70.2225	0.35111	0.798617	32	6	7	4	0.59375	0	18	7	6	1	0	1	5	3	2	11	1	2	0	0	0	0	0	1	1	1	0	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0231454
3ao4_clean_P_5	0	0	non	0	135.808	236.16	199.84	36.32	12.7562	0.588596	0.153794	169.34	0.119133	0.175268	52	9	6	0	0.730769	0	38	5	9	0	0	1	3	3	5	12	0	0	1	0	0	1	0	1	0	1	2	2	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.202697	0.292891
3ao4_clean_P_6	0	0	non	0	108.032	188.8	188.16	0.64	7.0993	0.696682	0.00338983	53.8962	0.307911	0.608506	49	9	7	4	0.714286	0	34	5	9	1	0	3	0	5	4	12	0	0	2	2	0	1	0	1	0	0	0	2	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.148665	0.339953
3mss_clean_P_1	98.5294	43.6132	STI_D_1	1	1187.46	1356.48	1183.84	172.64	28.1397	0.398782	0.127271	29337.6	0.165888	0.605706	231	34	28	30	0.74026	0	169	27	34	1	0	4	7	10	25	46	2	1	1	1	0	0	2	3	4	2	4	7	4	2	3	1	0	2	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0.894614	0.926678
3mss_clean_P_2	0	0	non	0	599.04	810.56	661.76	148.8	23.7958	0.44188	0.183577	9504.22	0.0763591	0.304401	147	20	15	20	0.77551	0	107	16	20	4	0	2	2	6	22	32	3	2	0	0	0	1	0	2	1	0	3	5	0	4	2	3	0	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0.690515	0.607528
3mss_clean_P_3	0	0	non	0	467.456	583.2	484.8	98.4	19.4072	0.414841	0.168724	1542.46	0.0926317	0.164772	105	19	17	10	0.695238	0	72	13	19	1	0	3	3	7	11	24	0	2	1	2	0	0	1	1	0	0	1	3	1	2	2	2	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.392643	0.347435
3mss_clean_P_4	0	0	non	0	284.48	391.84	329.44	62.4	13.7463	0.463217	0.159249	453.159	0.194526	0.327224	84	16	14	18	0.690476	0	57	11	16	0	0	2	3	6	9	20	3	2	1	2	0	0	0	0	0	0	0	1	1	0	2	1	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243567	0.256139
3mss_clean_P_5	0	0	non	0	170.24	226.88	177.6	49.28	10.008	0.417293	0.217207	91.9763	0.251799	0.370741	59	11	10	1	0.644068	0	36	10	11	2	0	3	2	2	6	13	0	2	0	0	0	1	0	3	0	0	0	0	0	2	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.354977
3mss_clean_P_6	0	0	non	0	107.136	199.52	199.52	0	11.1499	0.744922	0	106.595	0.133043	0.179939	64	8	7	14	0.78125	0	50	6	8	0	0	0	1	4	9	14	0	0	0	0	0	0	1	0	0	0	2	3	1	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0.3297	0.0816713
3g2z_clean_P_1	0	0	non	0	431.488	616.8	539.36	77.44	22.4464	0.5	0.125551	2538.05	0.116985	0.353921	143	25	23	6	0.699301	0	94	22	25	2	0	2	4	12	11	29	1	4	1	2	0	1	1	0	2	0	1	2	0	1	2	4	1	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.386874	0.0952553
3g2z_clean_P_2	81.8182	27.5846	GZ2_B_2	1	419.712	512.32	388	124.32	17.9287	0.369777	0.242661	1012.6	0.0798382	0.19212	95	25	21	6	0.6	0	57	13	25	0	0	2	3	19	2	26	0	1	4	1	0	1	0	1	2	0	0	1	2	0	0	1	5	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0879977	0.341379
3g2z_clean_P_3	0	0	non	0	163.072	233.12	185.12	48	10.1902	0.454082	0.205903	110.108	0.285546	0.420949	50	8	7	0	0.72	0	36	6	8	0	0	1	0	3	8	12	0	0	0	1	0	0	1	0	1	0	3	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.196421	0.43737
3g2z_clean_P_4	0	0	non	0	149.568	210.72	161.12	49.6	8.54166	0.430894	0.235383	74.5749	0.226268	0.385115	43	7	9	0	0.651163	0	28	8	7	0	0	0	1	7	3	11	0	0	1	0	0	0	4	0	0	0	0	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.303572
3g2z_clean_P_5	0	0	non	0	149.504	275.2	273.6	1.6	16.1344	0.732021	0.00581395	250.268	0.100192	0.150364	77	10	8	4	0.766234	0	56	8	10	3	0	1	2	5	14	22	2	0	0	1	0	0	0	0	1	0	1	4	2	3	2	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.342328	0.0141021
3g2z_clean_P_6	0	0	non	0	135.744	181.76	133.12	48.64	9.07744	0.392268	0.267606	51.2356	0.382338	0.765173	40	7	6	0	0.675	0	27	6	7	0	0	0	1	2	5	8	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0307151	0.147476
3g2z_clean_P_7	0	0	non	0	126.144	202.72	176.48	26.24	10.4077	0.559614	0.12944	79.6031	0.151772	0.310834	52	9	9	0	0.653846	0	34	9	9	0	0	0	2	3	7	12	2	2	1	0	0	0	2	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.305278
2brb_clean_P_1	97.619	36.846	PFQ_A_12	1	785.28	985.92	883.04	102.88	21.249	0.449796	0.104349	6221.26	0.148808	0.44815	198	35	30	17	0.686869	0	135	27	35	1	0	6	4	13	18	41	2	0	3	1	0	1	1	5	4	2	4	5	2	0	2	0	2	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0.56725	0.5
2brb_clean_P_2	0	0	non	0	467.456	631.04	536	95.04	15.8291	0.458653	0.150609	2473.99	0.16524	0.57942	119	22	22	10	0.638655	0	75	21	22	1	0	5	7	5	7	24	1	2	2	3	0	1	0	2	1	1	2	1	4	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.242413	0.162824
2brb_clean_P_3	0	0	non	0	427.968	668	603.2	64.8	21.0637	0.56378	0.097006	6089.15	0.138082	0.338171	157	22	20	15	0.732484	0	112	21	22	2	0	4	5	8	20	37	1	2	1	3	0	1	0	1	3	2	7	3	1	1	2	3	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0.479605	0.0868436
2brb_clean_P_4	0	0	non	0	241.152	371.04	370.88	0.16	12.4515	0.61518	0.00043122	316.997	0.15287	0.275339	101	16	17	7	0.70297	0	70	14	16	1	0	2	5	7	10	24	2	1	1	2	0	1	0	0	1	2	1	2	2	1	1	0	1	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0.267423	0.165619
2brb_clean_P_5	0	0	non	0	199.552	293.12	241.6	51.52	12.5984	0.484285	0.175764	235.486	0.120935	0.237235	58	8	10	5	0.689655	0	40	10	8	0	0	3	4	1	5	13	0	2	1	0	0	0	0	3	0	1	0	0	1	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.158884	0.28644
2brb_clean_P_6	0	0	non	0	186.176	267.84	223.2	44.64	12.8312	0.479546	0.166667	126.852	0.163252	0.3457	63	11	7	13	0.714286	0	45	7	11	0	0	3	2	4	7	16	0	0	1	1	0	0	1	2	0	0	0	2	2	0	0	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213385	0.196236
2brb_clean_P_7	0	0	non	0	183.552	222.56	136.96	85.6	7.85875	0.298466	0.384615	85.9715	0.292988	0.595146	32	4	4	10	0.78125	0	25	3	4	0	0	2	1	1	5	9	1	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.352812	0.227061
2brb_clean_P_8	0	0	non	0	182.464	241.12	192.48	48.64	9.47418	0.421957	0.201725	107.932	0.330393	0.392754	56	6	6	21	0.803571	0	45	5	6	0	0	1	3	1	6	11	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.445307	0.760117
2brb_clean_P_9	0	0	non	0	178.624	239.84	200	39.84	8.09938	0.447868	0.166111	98.3996	0.365069	0.549919	49	8	3	8	0.795918	0	38	3	8	0	0	3	0	2	6	11	1	0	0	0	0	0	0	3	1	0	1	1	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.426846	0.709462
2brb_clean_P_10	0	0	non	0	136.192	181.44	135.36	46.08	8.28493	0.397556	0.253968	51.1722	0.335951	0.415941	33	3	4	17	0.787879	0	26	4	3	0	0	2	1	2	3	8	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0.339981	0.5
2brb_clean_P_11	0	0	non	0	124.992	157.28	85.6	71.68	6.99714	0.273938	0.455748	35.0523	0.446088	0.624272	23	2	7	0	0.608696	0	14	7	2	0	0	1	4	1	1	7	1	2	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.53917e-06
3udh_clean_P_1	100	17.6515	091_A_50	0	1111.3	1440.16	1246.88	193.28	32.3234	0.448802	0.134207	43917.7	0.130655	0.186105	255	51	39	34	0.690196	0	174	29	51	1	0	3	8	29	21	61	2	2	0	2	0	2	5	1	8	2	3	6	4	0	1	2	6	4	2	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0.724958	0.628335
